trip_start_timestamp,cases_total,deaths_total,hospitalizations_total,cases_age_18_29,cases_age_60_69

2020-03-01,0,0,2,0,0

2020-03-02,0,0,1,0,0

2020-03-03,0,0,3,0,0

2020-03-04,1,0,2,0,0

2020-03-05,1,0,6,0,0

2020-03-06,3,0,2,0,1

2020-03-07,3,0,3,0,0

2020-03-08,3,0,7,0,0

2020-03-09,5,0,3,0,0

2020-03-10,11,0,5,2,0

2020-03-11,13,0,7,4,2

2020-03-12,21,0,7,6,3

2020-03-13,32,0,8,4,5

2020-03-14,31,0,9,9,3

2020-03-15,40,0,21,3,5

2020-03-16,77,1,14,13,7

2020-03-17,96,1,24,15,19

2020-03-18,162,1,39,31,18

2020-03-19,184,2,36,34,18

2020-03-20,155,0,52,23,27

2020-03-21,125,2,62,18,16

2020-03-22,168,2,68,23,24

2020-03-23,290,3,101,46,30

2020-03-24,350,2,119,59,61

2020-03-25,367,5,124,51,33

2020-03-26,413,2,132,65,53

2020-03-27,404,8,154,43,49

2020-03-28,248,4,131,27,38

2020-03-29,282,20,130,29,50

2020-03-30,439,12,158,54,59

2020-03-31,490,16,161,57,69

2020-04-01,461,24,181,57,91

2020-04-02,437,15,170,59,58

2020-04-03,466,24,160,71,79

2020-04-04,327,22,159,34,63

2020-04-05,292,26,147,31,42

2020-04-06,583,22,200,78,94

2020-04-07,556,25,194,83,80

2020-04-08,705,36,172,86,129

2020-04-09,574,25,150,83,74

2020-04-10,571,32,155,80,85

2020-04-11,397,33,142,53,54

2020-04-12,341,33,136,32,46

2020-04-13,694,32,153,99,91

2020-04-14,666,33,166,102,78

2020-04-15,631,31,149,92,86

2020-04-16,678,31,152,118,94

2020-04-17,775,43,148,129,118

2020-04-18,535,39,161,89,81

2020-04-19,459,35,158,66,75

2020-04-20,990,40,181,158,122

2020-04-21,875,36,171,148,109

2020-04-22,1055,45,145,169,150

2020-04-23,1467,36,167,193,245

2020-04-24,1074,54,168,177,158

2020-04-25,638,38,118,122,67

2020-04-26,433,51,129,83,57

2020-04-27,1157,35,169,234,125

2020-04-28,1323,56,174,247,156

2020-04-29,1151,44,157,208,118

2020-04-30,1274,40,168,230,150

2020-05-01,1175,39,140,224,134

2020-05-02,719,49,166,142,74

2020-05-03,466,45,138,97,66

2020-05-04,1122,48,127,218,109

2020-05-05,1090,58,156,206,125

2020-05-06,968,44,133,187,93

2020-05-07,940,49,140,179,116

2020-05-08,921,44,98,168,82

2020-05-09,520,53,97,104,54

2020-05-10,306,38,99,59,41

2020-05-11,1017,38,128,206,118

2020-05-12,942,46,124,177,92

2020-05-13,877,45,124,189,96

2020-05-14,778,45,131,167,95

2020-05-15,970,49,110,186,101

2020-05-16,514,28,102,106,59

2020-05-17,326,41,97,53,44

2020-05-18,944,33,113,235,83

2020-05-19,888,27,98,211,85

2020-05-20,771,29,94,210,72

2020-05-21,799,34,108,174,78

2020-05-22,724,36,92,154,74

2020-05-23,328,30,91,63,35

2020-05-24,279,27,92,55,47

2020-05-25,252,23,78,34,49

2020-05-26,751,23,77,159,76

2020-05-27,615,26,65,125,66

2020-05-28,523,22,70,111,61

2020-05-29,459,20,50,114,42

2020-05-30,238,21,55,54,23

2020-05-31,121,22,39,28,13

2020-06-01,233,21,63,50,17

2020-06-02,247,25,50,35,34

2020-06-03,280,21,50,61,32

2020-06-04,319,15,31,91,26

2020-06-05,337,17,42,75,30

2020-06-06,170,20,38,33,20

2020-06-07,110,20,31,29,8

2020-06-08,274,15,43,63,24

2020-06-09,254,23,38,50,38

2020-06-10,233,12,29,57,26

2020-06-11,201,10,28,62,19

2020-06-12,248,21,24,61,21

2020-06-13,120,18,23,25,14

2020-06-14,92,12,27,22,6

2020-06-15,235,20,31,57,25

2020-06-16,210,11,24,58,21

2020-06-17,219,21,29,57,23

2020-06-18,184,14,29,43,9

2020-06-19,220,15,37,69,16

2020-06-20,125,10,20,32,5

2020-06-21,48,11,16,16,2

2020-06-22,218,9,32,60,19

2020-06-23,234,8,26,72,17

2020-06-24,245,9,25,77,11

2020-06-25,249,11,22,70,20

2020-06-26,219,13,29,60,17

2020-06-27,131,5,13,42,10

2020-06-28,110,5,27,36,9

2020-06-29,279,7,31,89,17

2020-06-30,265,3,26,92,15

2020-07-01,266,13,22,98,25

2020-07-02,256,6,25,80,22

2020-07-03,174,5,29,52,16

2020-07-04,63,5,14,16,7

2020-07-05,89,3,16,29,8

2020-07-06,283,5,31,80,21

2020-07-07,341,4,25,107,19

2020-07-08,306,4,28,99,20

2020-07-09,288,8,29,93,23

2020-07-10,345,6,29,120,18

2020-07-11,154,2,19,68,12

2020-07-12,97,4,15,33,3

2020-07-13,337,4,33,99,31

2020-07-14,324,3,23,83,23

2020-07-15,268,7,23,84,18

2020-07-16,296,2,28,88,22

2020-07-17,325,3,26,102,21

2020-07-18,132,4,15,37,9

2020-07-19,100,2,22,27,6

2020-07-20,394,5,25,95,36

2020-07-21,290,1,30,83,23

2020-07-22,364,4,34,122,22

2020-07-23,319,3,29,101,17

2020-07-24,347,3,26,103,21

2020-07-25,156,8,21,34,7

2020-07-26,97,6,18,24,8

2020-07-27,362,1,19,102,30

2020-07-28,332,3,17,87,19

2020-07-29,447,3,19,131,28

2020-07-30,340,3,17,78,25

2020-07-31,392,2,24,112,31

2020-08-01,141,5,22,45,11

2020-08-02,95,3,21,21,11

2020-08-03,428,3,30,128,24

2020-08-04,369,2,32,105,33

2020-08-05,378,4,20,115,32

2020-08-06,349,4,21,113,22

2020-08-07,417,2,25,108,35

2020-08-08,177,3,16,56,14

2020-08-09,115,2,17,41,9

2020-08-10,376,1,29,108,24

2020-08-11,386,4,22,103,37

2020-08-12,433,2,28,117,29

2020-08-13,391,4,24,118,24

2020-08-14,347,3,26,86,26

2020-08-15,221,5,21,65,20

2020-08-16,120,3,18,40,10

2020-08-17,492,3,26,142,29

2020-08-18,411,1,25,130,22

2020-08-19,485,5,22,150,39

2020-08-20,422,3,24,120,33

2020-08-21,430,5,21,139,29

2020-08-22,191,2,17,59,16

2020-08-23,130,1,26,43,12

2020-08-24,554,3,24,134,31

2020-08-25,413,4,26,121,27

2020-08-26,388,3,34,126,23

2020-08-27,382,2,24,132,24

2020-08-28,382,4,25,109,29

2020-08-29,234,4,25,73,22

2020-08-30,100,5,22,24,8

2020-08-31,413,2,30,121,29

2020-09-01,330,3,17,97,32

